planta,empresa,tipo_de_generacion,renovable,ano,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,y,x
Changinola,AES Chan,Hidroelectrica,TRUE,2020,"83,820.83","66,205.43","65,937.43","44,270.78","60,183.11","57,983.11","72,040.23","70,940.94","84,101.90","105,060.85","76,155.21","94,044.94",9.236601,-82.494667
Gas Atlántico,AES Colón,Termica,FALSE,2020,"251,751.47","256,914.32","256,646.32","208,493.02","226,079.20","226,079.20","1,167.76","23,468.60","28,881.94","4,282.00","5,310.39","64,759.41",9.34273,-79.905052
Alternegy (Lorena y Prudencia),CELSIA,Hidroelectrica,TRUE,2020,"14,527.04","18,433.09","18,182.09","16,329.26","16,750.95","16,750.95","29,528.61","47,956.78","50,856.30","53,577.86","55,087.27","35,914.46",8.454849,-82.333574
Bontex (Gualaca),CELSIA,Hidroelectrica,TRUE,2020,"4,298.04","5,545.86","5,277.86","4,897.06","4,304.12","4,304.12","7,567.52","12,575.41","12,841.42","13,517.92","13,022.72","9,976.09",8.534064,-82.296393
IDB (Cativa),CELSIA,Termica,FALSE,2020,0,245.056,-21.944,29.824,0,0,0,0,148.208,0,0,9.132,9.378744,-79.823024
Bahia las minas,CELSIA,Termica,FALSE,2020,"68,466.65","65,571.44","65,303.44","57,866.89","23,720.78","23,720.78","13,448.21","9,132.63","4,147.62","7,633.85","13,477.92","48,365.60",9.376598,-79.823112
PanAm,PAN AM,Termica,FALSE,2020,"17,168.96",271.899,27.899,"60,392.90","55,558.01","55,558.01","3,107.61","4,087.52",101.865,"2,029.27","4,092.05","1,473.04",8.908544,-79.780931
Pacora,PEDREGAL,Termica,FALSE,2020,0,0,-268,214.088,0,0,50.621,0,24.86,0,281.604,526.456,9.104181,-79.272593
Ideal (Baitun y Bajo de Mina),IDEAL,Hidroelectrica,TRUE,2020,"23,871.66","17,164.74","16,891.74","13,144.83","33,540.75","32,640.75","53,459.97","78,087.32","90,831.13","98,703.88","73,131.04","63,122.76",8.7163,-82.832601
El Alto,Hidro Caisán ,Hidroelectrica,TRUE,2020,"10,211.80","7,161.71","6,893.71","4,992.30","11,335.97","11,335.97","19,965.86","29,373.64","36,655.40","40,206.04","26,741.56","22,007.24",8.758936,-82.834571
Bajo Frío,Fountain,Hidroelectrica,TRUE,2020,"8,631.30","6,071.27","5,803.27","4,855.66","14,736.78","14,736.78","20,660.19","31,665.36","35,706.03","37,093.18","30,688.94","22,201.34",8.594327,-82.786603
Bonyic,Eco Teribe,Hidroelectrica,TRUE,2020,"12,350.72","6,851.65","6,583.65","3,555.58","13,285.35","13,285.35","10,401.19","11,082.82","13,448.39","16,250.31","13,322.36","12,596.46",9.324656,-82.641349
RP 490,Hidro Piedra,Hidroelectrica,TRUE,2020,"5,143.98","3,660.88","3,392.88","3,041.31","8,635.10","8,635.10","11,250.53","11,963.85","13,666.61","15,042.31","12,359.85","9,911.15",8.589347,-82.585566
ACP,ACP,Termica,FALSE,2020,"46,175.62","44,237.30","43,969.30","37,905.15","40,827.36","40,827.36","15,790.44","19,041.39","4,492.61","17,843.41","35,562.08","28,308.69",9.000324,-79.590556
Monte Lirio,EISA,Hidroelectrica,TRUE,2020,"29,972.43","22,119.31","21,851.31","14,901.01","99,026.10","99,026.10","69,438.51","18,161.66","13,752.80","13,205.93","7,431.07","12,892.23",8.769129,-82.82191
UEP  ,UEP ,Eolica,TRUE,2020,"109,306.30","138,393.62","138,125.62","71,364.23","22,061.87","22,061.87","35,139.53","42,846.21","52,746.80","58,054.39","16,420.30","40,999.29",8.46629,-80.380089
